project_number,url,status
46764,https://disclosures.ifc.org/project-detail/SII/46764/societe-industrielle-agro-alimentaire-s.a.-3,403
38970,https://disclosures.ifc.org/project-detail/SII/38970/oxford-street-no.1-aparthotel,403
